City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
175,Richards Bay,ZA,-28.78,32.04,78.55,70,100,14.67,overcast clouds
176,Chifeng,CN,42.27,118.96,8.49,86,100,6.02,overcast clouds
177,Codrington,AU,-38.27,141.97,54.77,86,98,18.21,overcast clouds
178,Nuevo Progreso,MX,23.17,-97.95,84.0,58,39,1.01,scattered clouds
179,Rio Gallegos,AR,-51.62,-69.22,53.6,22,75,36.91,broken clouds
180,Cururupu,BR,-1.83,-44.87,86.27,61,99,7.18,overcast clouds
181,Bulgan,MN,48.81,103.53,5.04,89,0,2.53,clear sky
182,Mecca,SA,21.43,39.83,73.58,58,23,10.11,few clouds
183,Gazojak,TM,41.19,61.4,31.3,90,0,11.03,clear sky
184,Muisne,EC,0.6,-80.03,82.4,74,90,10.29,overcast clouds
185,Nioro,GM,13.35,-15.75,83.25,17,100,5.77,overcast clouds
186,Port Macquarie,AU,-31.43,152.92,63.0,92,74,9.42,broken clouds
187,Peachland,CA,49.77,-119.74,41.0,77,23,1.99,few clouds
188,Aktau,KZ,43.65,51.2,33.8,80,0,15.66,clear sky
189,Chilca,PE,-12.52,-76.74,71.6,68,0,11.41,clear sky
190,Aksu,CN,41.12,80.26,23.86,86,0,2.59,clear sky
191,Kozhva,RU,65.11,57.05,11.73,95,88,6.76,overcast clouds
192,Vallenar,CL,-28.57,-70.76,86.09,22,0,9.15,clear sky
193,Kano,NG,12.0,8.52,78.8,39,0,5.88,clear sky
194,Belle Fourche,US,44.67,-103.85,63.0,7,1,12.75,clear sky
195,Soe,ID,-9.86,124.28,68.92,92,91,3.06,overcast clouds
196,Gabaldon,PH,15.45,121.34,75.54,86,96,10.98,heavy intensity rain
197,Djibo,BF,14.1,-1.63,81.0,19,0,5.91,clear sky
198,Lasa,IT,46.62,10.7,30.2,74,5,1.14,clear sky
199,Talcahuano,CL,-36.72,-73.12,66.2,52,40,10.29,scattered clouds
200,Klaksvik,FO,62.23,-6.59,39.2,100,96,14.76,overcast clouds
201,Xichang,CN,27.9,102.26,46.94,74,99,0.67,overcast clouds
202,Gornopravdinsk,RU,60.05,69.9,4.84,94,0,2.01,clear sky
203,Tuatapere,NZ,-46.13,167.68,54.0,76,97,13.0,overcast clouds
204,Sambhar,IN,26.92,75.2,60.8,59,0,4.9,haze
205,Castro,BR,-24.79,-50.01,75.51,70,83,6.26,broken clouds
206,Longyearbyen,SJ,78.22,15.64,24.8,73,75,27.51,light snow
207,Komsomolskiy,UZ,40.43,71.72,33.8,86,7,2.24,mist
208,Dutlwe,BW,-23.98,23.9,76.82,55,6,8.34,clear sky
209,Bereda,ES,43.27,-7.54,45.0,100,100,3.0,overcast clouds
210,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,12.2,85,0,8.95,clear sky
211,Naze,JP,28.37,129.48,64.4,63,90,11.41,overcast clouds
212,Joutseno,FI,61.12,28.51,33.8,86,90,9.17,overcast clouds
213,Kampene,CD,-3.6,26.67,70.56,95,100,0.65,light rain
214,Bayir,TR,37.27,28.22,48.2,61,0,2.66,clear sky
215,Luderitz,NA,-26.65,15.16,69.8,60,0,24.16,clear sky
216,Aykhal,RU,66.0,111.5,3.2,84,0,2.24,clear sky
217,Dingle,PH,11.0,122.67,75.7,91,100,7.38,overcast clouds
218,Arraial Do Cabo,BR,-22.97,-42.03,82.4,74,0,25.28,clear sky
219,Karlskrona,SE,56.16,15.59,33.8,88,35,5.82,scattered clouds
220,Saint-Joseph,RE,-21.37,55.62,75.2,69,0,10.22,clear sky
221,Roald,NO,62.58,6.13,44.6,65,20,11.41,few clouds
222,Olonets,RU,60.98,32.97,27.61,95,100,8.03,overcast clouds
223,Ahipara,NZ,-35.17,173.17,60.94,69,100,10.51,light rain
224,Katsuura,JP,35.13,140.3,50.0,44,75,12.75,broken clouds
225,Camacha,PT,33.08,-16.33,60.8,55,40,19.46,scattered clouds
226,Olafsvik,IS,64.89,-23.71,37.2,80,100,12.86,light rain
227,Honningsvag,NO,70.98,25.97,37.8,79,100,26.4,light rain
228,Canico,PT,32.63,-16.85,60.8,55,40,13.87,scattered clouds
229,Port-Gentil,GA,-0.72,8.78,80.6,88,20,8.05,few clouds
230,Takoradi,GH,4.88,-1.76,79.57,82,2,6.73,light rain
231,Nouadhibou,MR,20.93,-17.03,69.8,68,100,12.75,overcast clouds
232,Sayyan,YE,15.17,44.32,53.53,59,5,2.64,clear sky
233,Wiarton,CA,44.74,-81.13,42.01,69,40,23.04,scattered clouds
234,Kavaratti,IN,10.57,72.64,82.17,72,32,8.55,scattered clouds
235,Khasan,RU,42.43,130.64,24.85,82,63,15.82,broken clouds
236,Sehithwa,BW,-20.47,22.72,80.2,52,3,6.98,light rain
237,Araceli,PH,10.55,119.99,82.87,81,61,20.33,broken clouds
238,Sevnica,SI,46.01,15.32,34.0,86,89,4.7,overcast clouds
239,Saskylakh,RU,71.92,114.08,9.88,93,66,12.57,broken clouds
240,Ketchikan,US,55.34,-131.65,39.2,93,90,25.28,light rain
241,Gari,RU,59.43,62.35,8.15,95,0,1.95,clear sky
242,Mashivka,UA,49.44,34.87,45.88,82,100,16.37,moderate rain
243,Teguldet,RU,57.31,88.17,9.93,93,0,6.24,clear sky
244,Zermatt,CH,46.02,7.75,36.0,64,0,1.01,clear sky
245,Mangrol,IN,21.12,70.12,74.64,38,0,14.34,clear sky
246,San Patricio,US,28.02,-97.52,69.8,94,90,17.22,light rain
247,Rapid Valley,US,44.06,-103.15,64.99,15,1,10.29,clear sky
248,Moose Factory,CA,51.26,-80.61,30.2,80,90,17.22,overcast clouds
249,Mount Gambier,AU,-37.83,140.77,53.6,87,90,13.87,overcast clouds
250,Ribas Do Rio Pardo,BR,-20.44,-53.76,97.18,24,86,10.65,overcast clouds
251,Beisfjord,NO,68.38,17.6,42.8,81,76,26.4,broken clouds
252,Sinazongwe,ZM,-17.26,27.46,81.57,64,55,2.75,broken clouds
253,Aranos,NA,-24.13,19.12,84.04,25,46,11.54,scattered clouds
254,Qujing,CN,25.48,103.78,43.97,80,100,2.66,overcast clouds
255,Lander,US,42.83,-108.73,44.6,42,1,3.36,clear sky
256,Murakami,JP,38.23,139.48,43.32,66,100,11.12,overcast clouds
257,Koutsouras,GR,35.03,25.95,57.0,74,0,4.21,clear sky
258,Susanville,US,40.42,-120.65,35.6,64,1,3.36,clear sky
259,Revelstoke,CA,50.98,-118.2,35.6,93,40,3.36,scattered clouds
260,Provideniya,RU,64.38,-173.3,16.72,90,91,13.98,overcast clouds
261,Mabaruma,GY,8.2,-59.78,84.78,66,96,7.38,overcast clouds
262,Yulara,AU,-25.24,130.99,84.2,35,0,8.05,clear sky
263,Neuquen,AR,-38.95,-68.06,86.0,19,0,4.7,clear sky
264,Esperance,AU,-33.87,121.9,50.0,81,52,6.93,broken clouds
265,Slavuta,UA,50.3,26.87,33.44,95,100,6.22,overcast clouds
266,Lavrentiya,RU,65.58,-171.0,19.11,93,90,21.61,overcast clouds
267,Tucuma,BR,-0.18,-50.05,83.77,77,68,7.85,broken clouds
268,Tura,IN,25.52,90.22,61.93,66,0,4.32,clear sky
269,Virarajendrapet,IN,12.2,75.8,78.8,88,40,2.24,mist
270,Saint Anthony,US,45.02,-93.22,48.99,42,1,10.29,clear sky
271,Gwadar,PK,25.12,62.33,72.81,49,0,5.44,clear sky
272,Zheshart,RU,62.07,49.57,11.3,96,2,3.71,clear sky
273,Hanmer Springs,NZ,-42.52,172.82,54.64,73,0,3.11,clear sky
274,Vila Franca Do Campo,PT,37.72,-25.43,53.6,66,40,12.75,scattered clouds
275,Pio Ix,BR,-6.84,-40.58,88.84,36,100,8.75,overcast clouds
276,Xiaoshi,CN,41.3,124.12,8.6,84,0,2.24,clear sky
277,Veraval,IN,20.9,70.37,77.45,39,0,14.76,clear sky
278,Basar,IN,27.98,94.67,53.26,72,0,2.66,clear sky
279,Cinnaminson,US,40.0,-74.99,55.99,47,90,13.87,overcast clouds
280,Leo,BF,11.1,-2.1,87.39,30,98,4.36,overcast clouds
281,Bengkulu,ID,-3.8,102.27,73.38,89,99,3.89,overcast clouds
282,Naron,ES,43.52,-8.15,57.99,71,0,4.7,clear sky
283,Quatre Cocos,MU,-20.21,57.76,75.2,73,40,6.93,scattered clouds
284,Port Lincoln,AU,-34.73,135.87,56.8,71,29,12.03,scattered clouds
285,Maumere,ID,-8.62,122.21,81.77,71,100,4.0,moderate rain
286,Daud Khel,PK,32.88,71.57,61.79,30,86,0.96,overcast clouds
287,Labuhan,ID,-6.88,112.21,79.05,85,100,4.29,overcast clouds
288,San Buenaventura,MX,27.08,-101.53,64.4,82,90,6.93,drizzle
289,San Juan,AR,-31.54,-68.54,90.99,23,7,9.4,clear sky
290,Ponta Do Sol,PT,32.67,-17.1,60.8,55,40,13.87,scattered clouds
291,Simao,CN,22.79,100.97,52.7,94,56,2.08,broken clouds
292,Kudahuvadhoo,MV,2.67,72.89,82.94,67,86,6.33,overcast clouds
